88	-58
115	-15
107	-42
-31	-70
-21	-124
46	55
-103	11
-100	-18
50	-36
-73	-53
-39	-89
39	44
65	37
126	6
-16	115
-65	-28
-108	12
110	53
77	37
-17	73
-67	81
-64	-91
-113	-14
20	-66
90	-31
72	-17
62	60
48	70
-30	89
136	51
-32	-43
44	81
4	-116
146	5
-63	-63
-126	60
-117	-41
-36	-34
-32	81
-5	-119
1	-70
13	107
90	-16
38	-110
92	49
-83	6
-76	-71
-6	79
-43	116
45	-106
-86	-1
50	-83
42	63
-49	82
-47	36
-24	45
-25	-98
-38	88
49	85
94	43
-17	-99
-58	-8
-121	-45
-69	-66
83	-70
10	-106
85	-10
-103	-49
-62	75
99	-10
73	24
35	-87
-100	84
-64	-15
90	-73
87	-62
-2	97
103	-46
-25	125
103	39
74	45
33	-60
107	39
-22	-75
78	7
-99	-23
95	-69
22	80
6	70
28	55
57	125
-75	-13
82	-57
64	-98
40	105
9	-67
-57	80
-14	-41
-48	-94
22	-103
-57	-34
-92	32
103	17
31	-93
-29	93
-98	-32
14	77
81	27
140	10
-13	-69
-42	34
-5	90
58	-88
-80	84
81	-23
0	88
59	-72
68	45
-68	-66
10	126
94	-28
-82	-30
-79	-107
-74	72
56	58
72	76
-97	-32
-119	-79
107	-29
-8	-59
35	105
-78	-39
-32	-78
98	-18
56	-99
-33	87
91	86
89	0
55	29
74	-70
-84	-38
82	-61
-22	86
-94	50
95	20
102	16
-128	-46
98	-62
-77	-63
47	89
99	0
35	-101
-85	38
88	-33
-112	10
-73	100
14	145
-66	82
79	27
-109	13
-80	-27
-93	-14
-95	57
-80	51
75	53
-85	-51
-22	-78
-99	-37
-2	-93
65	-71
-44	-105
-68	25
-11	-119
-36	-76
79	36
108	-41
37	-78
-45	-108
-86	56
86	18
-79	-63
50	-139
98	-10
81	48
-40	101
97	-49
64	81
-22	103
25	-92
69	-56
-66	-69
-79	102
103	-23
-46	-91
25	-104
16	105
-41	93
-9	84
-21	124
115	65
-25	103
-32	87
-75	51
-34	64
-2	-104
21	90
-86	30
-118	45
-27	-98
47	-64
-42	83
-95	22
-12	62
-4	74
-81	74
19	60
-18	-84
-44	-81
-107	-18
-86	41
82	-62
-106	53
30	94
-89	6
-56	-52
-75	-37
-30	-80
-106	-8
-43	95
24	112
76	-31
-78	68
23	85
-52	109
63	-80
110	-18
134	30
-64	45
9	102
-63	-85
-29	89
-108	-51
93	22
46	-74
28	-92
15	49
-51	-89
115	-71
98	-66
-99	-51
-10	-68
18	-133
-17	128
25	-88
-63	-97
13	98
24	-67
-79	-7
-93	33
111	27
-77	-64
66	9
-19	-39
48	30
55	84
68	79
96	34
132	-43
54	103
-89	-84
-88	-30
-60	94
-12	-83
54	59
100	-23
62	-58
-91	-23
64	69
19	-82
90	-11
-89	-39
72	16
-77	61
72	-47
-74	57
111	55
-2	-110
-76	75
93	12
-78	76
94	-25
-12	-91
-67	65
67	17
-134	35
90	-40
-52	-67
34	-87
71	76
-95	38
